Time (s), Position_1, Position_2, Velocity_1, Velocity_2, Force_1, Force_2, Observed_Energy_1, Observed_Energy_2, Position_1, Position_2, Velocity_1, Velocity_2, Force_1, Force_2, velocity_error_1, velocity_error_2, Power_PO_1, Power_PO_2, Virutal_mass, Virutal_damping
0.022123, 0.200063, 0.200044, -0.000872, 0.000000, -0.004889, -0.378598, 0.000000, 0.000000, 0.200063, 0.200044, -0.000872, 0.000000, -0.004889, -0.378598, 0.000872, 0.000000, -0.000000, 0.000000, 2.000000, 1.000000
0.022136, 0.200066, 0.200044, 0.000141, 0.000000, -0.004889, -0.170198, 0.000000, 0.000000, 0.200066, 0.200044, 0.000141, 0.000000, -0.004889, -0.170198, -0.000995, -0.000811, 0.000000, 0.000000, 2.000000, 1.000000
0.022176, 0.200066, 0.200044, 0.000141, 0.000000, -0.004889, -0.170198, 0.000000, 0.000000, 0.200066, 0.200044, 0.000141, 0.000000, -0.004889, -0.170198, -0.000000, -0.000000, 0.000000, 0.000000, 2.000000, 1.000000
0.022208, 0.200066, 0.200044, 0.000141, 0.000000, -0.004889, -0.170198, 0.000000, 0.000000, 0.200066, 0.200044, 0.000141, 0.000000, -0.004889, -0.170198, -0.000000, -0.000001, 0.000000, 0.000000, 2.000000, 1.000000
0.022233, 0.200066, 0.200044, 0.000141, 0.000000, -0.004889, -0.170198, 0.000000, 0.000000, 0.200066, 0.200044, 0.000141, 0.000000, -0.004889, -0.170198, -0.000000, -0.000001, 0.000000, 0.000000, 2.000000, 1.000000
0.022259, 0.200066, 0.200044, 0.000141, 0.000000, -0.004889, -0.170198, 0.000000, 0.000000, 0.200066, 0.200044, 0.000141, 0.000000, -0.004889, -0.170198, -0.000000, -0.000000, 0.000000, 0.000000, 2.000000, 1.000000
0.022268, 0.200066, 0.200044, 0.000141, 0.000000, -0.004889, -0.170198, 0.000000, 0.000000, 0.200066, 0.200044, 0.000141, 0.000000, -0.004889, -0.170198, -0.000000, -0.000000, 0.000000, 0.000000, 2.000000, 1.000000
0.022290, 0.200066, 0.200044, 0.000141, 0.000000, -0.004889, -0.170198, 0.000000, 0.000000, 0.200066, 0.200044, 0.000141, 0.000000, -0.004889, -0.170198, -0.000000, -0.000000, 0.000000, 0.000000, 2.000000, 1.000000
0.022298, 0.200066, 0.200044, 0.000141, 0.000000, -0.004889, -0.170198, 0.000000, 0.000000, 0.200066, 0.200044, 0.000141, 0.000000, -0.004889, -0.170198, -0.000000, -0.000000, 0.000000, 0.000000, 2.000000, 1.000000
0.022306, 0.200066, 0.200044, 0.000141, 0.000000, -0.004889, -0.170198, 0.000000, 0.000000, 0.200066, 0.200044, 0.000141, 0.000000, -0.004889, -0.170198, -0.000000, -0.000000, 0.000000, 0.000000, 2.000000, 1.000000
0.022314, 0.200066, 0.200044, 0.000141, 0.000000, -0.004889, -0.170198, 0.000000, 0.000000, 0.200066, 0.200044, 0.000141, 0.000000, -0.004889, -0.170198, -0.000000, -0.000000, 0.000000, 0.000000, 2.000000, 1.000000
0.022325, 0.200066, 0.200044, 0.000141, 0.000000, -0.004889, -0.170198, 0.000000, 0.000000, 0.200066, 0.200044, 0.000141, 0.000000, -0.004889, -0.170198, -0.000000, -0.000000, 0.000000, 0.000000, 2.000000, 1.000000
0.023918, 0.200066, 0.200044, -0.000943, 0.000000, -0.004889, -0.118098, 0.000000, 0.000000, 0.200066, 0.200044, -0.000943, 0.000000, -0.004889, -0.118098, 0.001083, -0.000000, -0.000000, 0.000000, 2.000000, 1.000000
0.025917, 0.200066, 0.200048, -0.000140, 0.000872, -0.004889, 0.090302, 0.000000, 0.000000, 0.200066, 0.200048, -0.000140, 0.000872, -0.004889, 0.090302, -0.000802, -0.000891, 0.000000, -0.000000, 2.000000, 1.000000
0.027905, 0.200066, 0.200051, -0.000001, 0.001871, 0.047211, -0.170198, 0.000000, -0.000000, 0.200066, 0.200051, -0.000001, 0.001871, 0.047211, -0.170198, -0.000140, -0.000984, -0.000000, 0.000000, 2.000000, 1.000000
0.029905, 0.200066, 0.200051, 0.000000, 0.001020, -0.004889, -0.326498, 0.000000, -0.000001, 0.200066, 0.200051, 0.000000, 0.001020, -0.004889, -0.326498, 0.000009, 0.000812, -0.000000, -0.000001, 2.000000, 1.000000
0.031907, 0.200066, 0.200051, 0.000000, 0.000021, -0.056989, 0.038202, 0.000000, -0.000001, 0.200066, 0.200051, 0.000000, 0.000021, -0.056989, 0.038202, -0.000001, 0.000931, 0.000000, 0.000000, 2.000000, 1.000000
0.033930, 0.200066, 0.200048, 0.000000, -0.000907, -0.004889, -0.378598, 0.000000, -0.000000, 0.200066, 0.200048, 0.000000, -0.000907, -0.004889, -0.378598, -0.000011, 0.000936, 0.000000, -0.000001, 2.000000, 1.000000
0.035918, 0.200066, 0.200048, 0.000000, -0.000946, -0.056989, -0.013898, 0.000000, -0.000000, 0.200066, 0.200048, 0.000000, -0.000946, -0.056989, -0.013898, -0.000001, -0.000035, 0.000000, 0.000000, 2.000000, 1.000000
0.037918, 0.200066, 0.200051, 0.000000, 0.000905, -0.004889, 0.142402, 0.000000, -0.000000, 0.200066, 0.200051, 0.000000, 0.000905, -0.004889, 0.142402, -0.000011, -0.001851, 0.000000, -0.000001, 2.000000, 1.000000
0.039918, 0.200066, 0.200051, 0.000000, 0.000946, -0.004889, 0.142402, 0.000000, 0.000000, 0.200066, 0.200051, 0.000000, 0.000946, -0.004889, 0.142402, -0.000001, -0.000015, 0.000000, -0.000000, 2.000000, 1.000000
0.041918, 0.200066, 0.200051, 0.000000, 0.000039, -0.004889, -0.065998, 0.000000, 0.000000, 0.200066, 0.200051, 0.000000, 0.000039, -0.004889, -0.065998, -0.000001, 0.000933, 0.000000, -0.000000, 2.000000, 1.000000
0.043918, 0.200066, 0.200051, 0.000000, -0.000806, 0.047211, -0.118098, 0.000000, 0.000000, 0.200066, 0.200051, 0.000000, -0.000806, 0.047211, -0.118098, -0.000001, 0.000832, -0.000000, -0.000000, 2.000000, 1.000000
0.045917, 0.200066, 0.200048, 0.000000, -0.000499, -0.004889, 0.246602, 0.000000, 0.000000, 0.200066, 0.200048, 0.000000, -0.000499, -0.004889, 0.246602, 0.000009, -0.000328, -0.000000, -0.000000, 2.000000, 1.000000
0.047919, 0.200066, 0.200051, 0.000000, 0.000803, -0.004889, 0.246602, 0.000000, 0.000000, 0.200066, 0.200051, 0.000000, 0.000803, -0.004889, 0.246602, -0.000001, -0.001252, 0.000000, -0.000001, 2.000000, 1.000000
0.049917, 0.200066, 0.200051, 0.000000, 0.000499, 0.047211, 0.090302, 0.000000, 0.000001, 0.200066, 0.200051, 0.000000, 0.000499, 0.047211, 0.090302, -0.000001, 0.000351, -0.000000, 0.000000, 2.000000, 1.000000
0.051905, 0.200066, 0.200051, 0.000000, 0.000003, 0.047211, -0.013898, 0.000000, 0.000001, 0.200066, 0.200051, 0.000000, 0.000003, 0.047211, -0.013898, 0.000009, 0.000513, 0.000000, -0.000000, 2.000000, 1.000000
0.053917, 0.200066, 0.200051, 0.000000, 0.000000, -0.004889, -0.065998, 0.000000, 0.000001, 0.200066, 0.200051, 0.000000, 0.000000, -0.004889, -0.065998, 0.000009, 0.000000, -0.000000, -0.000000, 2.000000, 1.000000
0.055918, 0.200066, 0.200051, 0.000000, 0.000000, -0.004889, 0.194502, 0.000000, 0.000001, 0.200066, 0.200051, 0.000000, 0.000000, -0.004889, 0.194502, -0.000001, -0.000013, 0.000000, -0.000000, 2.000000, 1.000000
