Time (s), Position_1, Position_2, Velocity_1, Velocity_2, Force_1, Force_2, Virutal_mass, Desired_mass, Virutal_damping, Desired_damping, Observed_Energy_1, Observed_Energy_2
0.022380, 0.199998, 0.200002, 0.000000, 0.000000, -0.004889, 0.142402, 0.500000, 0.500000, 2.000000, 2.000000, 0.000000, 0.000000
0.022439, 0.200006, 0.200002, 0.000952, 0.000000, -0.004889, -0.118098, 0.500000, 0.500000, 2.000000, 2.000000, -0.000000, 0.000000
0.022462, 0.200006, 0.200002, 0.000952, 0.000000, -0.004889, -0.118098, 0.500000, 0.500000, 2.000000, 2.000000, -0.000000, 0.000000
0.022469, 0.200006, 0.200002, 0.000952, 0.000000, -0.004889, -0.118098, 0.500000, 0.500000, 2.000000, 2.000000, -0.000000, 0.000000
0.022477, 0.200006, 0.200002, 0.000952, 0.000000, -0.004889, -0.118098, 0.500000, 0.500000, 2.000000, 2.000000, -0.000000, 0.000000
0.022508, 0.200006, 0.200002, 0.000952, 0.000000, -0.004889, -0.118098, 0.500000, 0.500000, 2.000000, 2.000000, -0.000000, 0.000000
0.022518, 0.200006, 0.200002, 0.000952, 0.000000, -0.004889, -0.118098, 0.500000, 0.500000, 2.000000, 2.000000, -0.000000, 0.000000
0.022526, 0.200006, 0.200002, 0.000952, 0.000000, -0.004889, -0.118098, 0.500000, 0.500000, 2.000000, 2.000000, -0.000000, 0.000000
0.022546, 0.200006, 0.200002, 0.000952, 0.000000, -0.004889, -0.118098, 0.500000, 0.500000, 2.000000, 2.000000, -0.000000, 0.000000
0.022553, 0.200006, 0.200002, 0.000952, 0.000000, -0.004889, -0.118098, 0.500000, 0.500000, 2.000000, 2.000000, -0.000000, 0.000000
0.022560, 0.200006, 0.200002, 0.000952, 0.000000, -0.004889, -0.118098, 0.500000, 0.500000, 2.000000, 2.000000, -0.000000, 0.000000
0.022567, 0.200006, 0.200002, 0.000952, 0.000000, -0.004889, -0.118098, 0.500000, 0.500000, 2.000000, 2.000000, -0.000000, 0.000000
0.023833, 0.200010, 0.200006, 0.000946, 0.000446, 0.099311, 0.038202, 0.500000, 0.500000, 2.000000, 2.000000, 0.000000, 0.000000
0.025819, 0.200010, 0.200029, 0.000946, 0.005610, -0.004889, 0.246602, 0.500000, 0.500000, 2.000000, 2.000000, 0.000000, 0.000003
0.027833, 0.200010, 0.200051, 0.000140, 0.011098, 0.047211, 0.090302, 0.500000, 0.500000, 2.000000, 2.000000, 0.000000, 0.000005
0.029832, 0.200013, 0.200063, 0.000908, 0.009359, -0.056989, -0.222298, 0.500000, 0.500000, 2.000000, 2.000000, 0.000000, 0.000001
0.031855, 0.200013, 0.200070, 0.000946, 0.005443, -0.004889, -0.326498, 0.500000, 0.500000, 2.000000, 2.000000, 0.000000, -0.000003
0.033820, 0.200013, 0.200070, 0.000039, 0.002322, -0.004889, -0.065998, 0.500000, 0.500000, 2.000000, 2.000000, 0.000000, -0.000003
0.035821, 0.200013, 0.200063, 0.000000, -0.001541, -0.004889, 0.194502, 0.500000, 0.500000, 2.000000, 2.000000, 0.000000, -0.000004
0.037834, 0.200017, 0.200063, 0.000872, -0.002149, -0.056989, 0.298702, 0.500000, 0.500000, 2.000000, 2.000000, -0.000000, -0.000005
0.039820, 0.200017, 0.200070, 0.000946, 0.001436, -0.056989, 0.038202, 0.500000, 0.500000, 2.000000, 2.000000, -0.000000, -0.000005
0.041832, 0.200017, 0.200078, 0.000074, 0.003702, -0.004889, 0.350802, 0.500000, 0.500000, 2.000000, 2.000000, -0.000000, -0.000002
0.043833, 0.200017, 0.200078, 0.000000, 0.002043, -0.109089, 0.715502, 0.500000, 0.500000, 2.000000, 2.000000, -0.000000, 0.000000
0.045832, 0.200017, 0.200078, 0.000000, 0.000081, 0.047211, 1.184402, 0.500000, 0.500000, 2.000000, 2.000000, -0.000000, 0.000001
0.047833, 0.200017, 0.200074, 0.000000, -0.000907, 0.047211, 0.819702, 0.500000, 0.500000, 2.000000, 2.000000, -0.000000, -0.000001
0.049833, 0.200017, 0.200070, 0.000000, -0.001853, 0.151411, 0.663402, 0.500000, 0.500000, 2.000000, 2.000000, -0.000000, -0.000003
0.051834, 0.200021, 0.200070, 0.000872, -0.000985, -0.004889, 0.194502, 0.500000, 0.500000, 2.000000, 2.000000, -0.000000, -0.000004
0.053832, 0.200021, 0.200074, 0.000946, 0.000901, -0.004889, 0.090302, 0.500000, 0.500000, 2.000000, 2.000000, -0.000000, -0.000003
0.055832, 0.200021, 0.200074, 0.000140, 0.001172, -0.056989, -0.013898, 0.500000, 0.500000, 2.000000, 2.000000, -0.000000, -0.000004
0.057835, 0.200021, 0.200074, 0.000001, 0.000007, -0.004889, -0.170198, 0.500000, 0.500000, 2.000000, 2.000000, -0.000000, -0.000004
0.059833, 0.200021, 0.200074, 0.000000, -0.000225, -0.109089, -0.378598, 0.500000, 0.500000, 2.000000, 2.000000, -0.000000, -0.000003
0.061832, 0.200021, 0.200074, 0.000000, -0.000001, -0.109089, -0.534898, 0.500000, 0.500000, 2.000000, 2.000000, -0.000000, -0.000003
0.063833, 0.200021, 0.200074, 0.000000, 0.000000, -0.004889, -0.274398, 0.500000, 0.500000, 2.000000, 2.000000, -0.000000, -0.000003
0.065841, 0.200021, 0.200074, 0.000000, 0.000000, -0.004889, -0.013898, 0.500000, 0.500000, 2.000000, 2.000000, -0.000000, -0.000003
0.067835, 0.200021, 0.200074, 0.000000, 0.000000, 0.047211, 0.090302, 0.500000, 0.500000, 2.000000, 2.000000, -0.000000, -0.000003
0.069834, 0.200025, 0.200074, 0.000872, 0.000000, -0.004889, 0.246602, 0.500000, 0.500000, 2.000000, 2.000000, -0.000000, -0.000003
0.071833, 0.200025, 0.200074, 0.000946, 0.000000, 0.047211, 0.350802, 0.500000, 0.500000, 2.000000, 2.000000, -0.000000, -0.000003
0.073833, 0.200025, 0.200074, 0.000074, 0.000000, 0.099311, 0.611302, 0.500000, 0.500000, 2.000000, 2.000000, -0.000000, -0.000003
0.075833, 0.200025, 0.200074, 0.000000, 0.000000, 0.099311, 0.455002, 0.500000, 0.500000, 2.000000, 2.000000, -0.000000, -0.000003
0.077832, 0.200025, 0.200074, 0.000000, 0.000000, -0.004889, 0.611302, 0.500000, 0.500000, 2.000000, 2.000000, -0.000000, -0.000003
0.079838, 0.200025, 0.200074, 0.000000, 0.000000, -0.004889, 0.142402, 0.500000, 0.500000, 2.000000, 2.000000, -0.000000, -0.000003
0.081832, 0.200025, 0.200074, 0.000000, 0.000000, -0.109089, 0.507102, 0.500000, 0.500000, 2.000000, 2.000000, -0.000000, -0.000003
0.083833, 0.200025, 0.200074, 0.000000, 0.000000, -0.056989, 0.350802, 0.500000, 0.500000, 2.000000, 2.000000, -0.000000, -0.000003
0.085832, 0.200025, 0.200074, 0.000000, 0.000000, -0.056989, -0.065998, 0.500000, 0.500000, 2.000000, 2.000000, -0.000000, -0.000003
0.087833, 0.200025, 0.200074, 0.000000, 0.000000, -0.056989, -0.118098, 0.500000, 0.500000, 2.000000, 2.000000, -0.000000, -0.000003
0.089832, 0.200025, 0.200074, 0.000000, 0.000000, -0.004889, -0.430698, 0.500000, 0.500000, 2.000000, 2.000000, -0.000000, -0.000003
0.091833, 0.200025, 0.200074, 0.000000, 0.000000, -0.004889, -0.378598, 0.500000, 0.500000, 2.000000, 2.000000, -0.000000, -0.000003
0.093820, 0.200025, 0.200074, 0.000000, 0.000000, 0.047211, -0.326498, 0.500000, 0.500000, 2.000000, 2.000000, -0.000000, -0.000003
0.095836, 0.200029, 0.200074, 0.000446, 0.000000, 0.047211, -0.586998, 0.500000, 0.500000, 2.000000, 2.000000, -0.000000, -0.000003
0.097842, 0.200029, 0.200074, 0.000943, 0.000000, 0.047211, -0.170198, 0.500000, 0.500000, 2.000000, 2.000000, -0.000000, -0.000003
0.099835, 0.200029, 0.200074, 0.000500, 0.000000, 0.047211, 0.090302, 0.500000, 0.500000, 2.000000, 2.000000, 0.000000, -0.000003
0.101833, 0.200029, 0.200074, 0.000001, 0.000000, -0.004889, 0.142402, 0.500000, 0.500000, 2.000000, 2.000000, 0.000000, -0.000003
0.103833, 0.200029, 0.200074, 0.000000, 0.000000, 0.047211, 0.298702, 0.500000, 0.500000, 2.000000, 2.000000, 0.000000, -0.000003
0.105832, 0.200029, 0.200074, 0.000000, 0.000000, 0.047211, 0.246602, 0.500000, 0.500000, 2.000000, 2.000000, 0.000000, -0.000003
0.107833, 0.200029, 0.200074, 0.000000, 0.000000, -0.056989, 0.402902, 0.500000, 0.500000, 2.000000, 2.000000, 0.000000, -0.000003
0.109832, 0.200029, 0.200074, 0.000000, 0.000000, -0.056989, 0.298702, 0.500000, 0.500000, 2.000000, 2.000000, 0.000000, -0.000003
0.111833, 0.200029, 0.200074, 0.000000, 0.000000, 0.047211, 0.090302, 0.500000, 0.500000, 2.000000, 2.000000, 0.000000, -0.000003
